#1 : frequency[Hz] = 1.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    3   30   1.000e-01  -1.200e-01   3.000e-01  5.682e-01  5.462e-01   29.572  4.049e-03  -63.047  1.563e-01 -114.130
    4    0   1.000e-01  -1.100e-01   0.000e+00  8.503e-02  8.246e-02 -175.241  6.886e-04   47.537  2.075e-02  -68.711
    4    1   1.000e-01  -1.100e-01   1.000e-02  1.890e-01  1.881e-01  115.641  8.178e-04   85.238  1.766e-02  -12.098
    4    2   1.000e-01  -1.100e-01   2.000e-02  2.892e-01  2.879e-01  110.573  9.031e-04  120.214  2.765e-02   31.311
    4    3   1.000e-01  -1.100e-01   3.000e-02  2.749e-01  2.723e-01  118.079  9.532e-04  157.328  3.819e-02   56.151
    4    4   1.000e-01  -1.100e-01   4.000e-02  1.644e-01  1.599e-01  148.872  1.038e-03 -163.195  3.829e-02   76.077
    4    5   1.000e-01  -1.100e-01   5.000e-02  1.812e-01  1.796e-01 -126.456  1.185e-03 -125.304  2.425e-02  110.191
    4    6   1.000e-01  -1.100e-01   6.000e-02  3.527e-01  3.517e-01  -94.443  1.347e-03  -90.183  2.647e-02 -155.247
    4    7   1.000e-01  -1.100e-01   7.000e-02  4.604e-01  4.561e-01  -79.114  1.470e-03  -56.425  6.227e-02 -119.593
    4    8   1.000e-01  -1.100e-01   8.000e-02  4.499e-01  4.402e-01  -62.685  1.560e-03  -21.845  9.303e-02 -105.929
    4    9   1.000e-01  -1.100e-01   9.000e-02  3.550e-01  3.404e-01  -35.211  1.643e-03   13.950  1.007e-01  -96.445
    4   10   1.000e-01  -1.100e-01   1.000e-01  3.009e-01  2.909e-01   12.514  1.745e-03   50.103  7.676e-02  -87.141
    4   11   1.000e-01  -1.100e-01   1.100e-01  3.571e-01  3.562e-01   53.181  1.850e-03   85.885  2.453e-02  -66.095
    4   12   1.000e-01  -1.100e-01   1.200e-01  3.966e-01  3.939e-01   76.622  1.934e-03  121.646  4.665e-02   90.443
    4   13   1.000e-01  -1.100e-01   1.300e-01  3.406e-01  3.220e-01   96.127  1.983e-03  158.379  1.108e-01  104.760
    4   14   1.000e-01  -1.100e-01   1.400e-01  2.279e-01  1.695e-01  130.976  2.020e-03 -162.901  1.523e-01  116.208
    4   15   1.000e-01  -1.100e-01   1.500e-01  2.205e-01  1.500e-01 -134.480  2.094e-03 -121.554  1.616e-01  130.688
    4   16   1.000e-01  -1.100e-01   1.600e-01  3.139e-01  2.782e-01  -93.723  2.288e-03  -78.452  1.454e-01  152.549
    4   17   1.000e-01  -1.100e-01   1.700e-01  3.470e-01  3.221e-01  -69.889  2.681e-03  -35.591  1.292e-01 -173.977
    4   18   1.000e-01  -1.100e-01   1.800e-01  3.046e-01  2.711e-01  -36.388  3.306e-03    5.147  1.388e-01 -136.954
    4   19   1.000e-01  -1.100e-01   1.900e-01  3.082e-01  2.620e-01   21.324  4.201e-03   43.632  1.623e-01 -109.486
    4   20   1.000e-01  -1.100e-01   2.000e-01  4.309e-01  3.943e-01   66.498  5.538e-03   80.257  1.738e-01  -89.680
    4   21   1.000e-01  -1.100e-01   2.100e-01  5.483e-01  5.231e-01   92.930  7.798e-03  114.294  1.641e-01  -72.384
    4   22   1.000e-01  -1.100e-01   2.200e-01  5.762e-01  5.591e-01  116.491  1.227e-02  142.818  1.390e-01  -54.044
    4   23   1.000e-01  -1.100e-01   2.300e-01  5.317e-01  5.184e-01  146.234  2.303e-02  160.674  1.158e-01  -32.054
    4   24   1.000e-01  -1.100e-01   2.400e-01  5.172e-01  5.076e-01 -174.889  6.104e-03  178.788  9.920e-02  -10.428
    4   25   1.000e-01  -1.100e-01   2.500e-01  5.829e-01  5.774e-01 -138.063  3.557e-03  -12.327  7.979e-02    5.913
    4   26   1.000e-01  -1.100e-01   2.600e-01  6.093e-01  6.068e-01 -111.085  1.731e-02    7.340  5.245e-02   12.024
    4   27   1.000e-01  -1.100e-01   2.700e-01  5.646e-01  5.639e-01  -87.169  1.184e-02  -21.525  2.475e-02    1.238
    4   28   1.000e-01  -1.100e-01   2.800e-01  4.351e-01  4.285e-01  -56.936  1.130e-02  -48.215  7.451e-02  -96.326
    4   29   1.000e-01  -1.100e-01   2.900e-01  3.936e-01  3.648e-01   -6.615  7.078e-03  -56.050  1.477e-01 -106.291
    4   30   1.000e-01  -1.100e-01   3.000e-01  5.589e-01  5.374e-01   29.320  4.254e-03  -55.338  1.533e-01 -114.221
    5    0   1.000e-01  -1.000e-01   0.000e+00  8.647e-02  8.404e-02 -174.291  7.686e-04   44.771  2.031e-02  -68.614
    5    1   1.000e-01  -1.000e-01   1.000e-02  1.870e-01  1.862e-01  116.086  9.096e-04   82.492  1.731e-02  -11.572
    5    2   1.000e-01  -1.000e-01   2.000e-02  2.866e-01  2.853e-01  110.560  1.002e-03  117.292  2.729e-02   31.766
    5    3   1.000e-01  -1.000e-01   3.000e-02  2.726e-01  2.699e-01  117.794  1.050e-03  154.056  3.776e-02   56.415
    5    4   1.000e-01  -1.000e-01   4.000e-02  1.621e-01  1.576e-01  148.227  1.127e-03 -166.510  3.781e-02   76.198
    5    5   1.000e-01  -1.000e-01   5.000e-02  1.780e-01  1.764e-01 -126.263  1.272e-03 -128.126  2.377e-02  110.373
    5    6   1.000e-01  -1.000e-01   6.000e-02  3.490e-01  3.481e-01  -94.362  1.442e-03  -92.418  2.627e-02 -154.227
    5    7   1.000e-01  -1.000e-01   7.000e-02  4.565e-01  4.522e-01  -79.211  1.579e-03  -58.405  6.204e-02 -119.120
    5    8   1.000e-01  -1.000e-01   8.000e-02  4.463e-01  4.365e-01  -62.966  1.681e-03  -24.018  9.260e-02 -105.651
    5    9   1.000e-01  -1.000e-01   9.000e-02  3.515e-01  3.369e-01  -35.710  1.764e-03   11.289  1.001e-01  -96.289
    5   10   1.000e-01  -1.000e-01   1.000e-01  2.964e-01  2.864e-01   12.036  1.852e-03   47.129  7.607e-02  -87.129
    5   11   1.000e-01  -1.000e-01   1.100e-01  3.518e-01  3.510e-01   52.831  1.938e-03   83.026  2.386e-02  -66.450
    5   12   1.000e-01  -1.000e-01   1.200e-01  3.915e-01  3.887e-01   76.113  2.007e-03  119.115  4.688e-02   91.288
    5   13   1.000e-01  -1.000e-01   1.300e-01  3.364e-01  3.177e-01   95.190  2.049e-03  155.999  1.107e-01  105.166
    5   14   1.000e-01  -1.000e-01   1.400e-01  2.242e-01  1.649e-01  128.951  2.069e-03 -165.473  1.519e-01  116.496
    5   15   1.000e-01  -1.000e-01   1.500e-01  2.144e-01  1.416e-01 -133.966  2.102e-03 -124.127  1.609e-01  130.910
    5   16   1.000e-01  -1.000e-01   1.600e-01  3.053e-01  2.689e-01  -93.209  2.241e-03  -80.001  1.445e-01  152.732
    5   17   1.000e-01  -1.000e-01   1.700e-01  3.365e-01  3.112e-01  -69.743  2.607e-03  -35.266  1.281e-01 -173.778
    5   18   1.000e-01  -1.000e-01   1.800e-01  2.928e-01  2.586e-01  -36.214  3.257e-03    6.897  1.373e-01 -136.727
    5   19   1.000e-01  -1.000e-01   1.900e-01  2.962e-01  2.492e-01   22.894  4.209e-03   45.879  1.600e-01 -109.345
    5   20   1.000e-01  -1.000e-01   2.000e-01  4.176e-01  3.813e-01   68.225  5.597e-03   82.597  1.702e-01  -89.807
    5   21   1.000e-01  -1.000e-01   2.100e-01  5.307e-01  5.067e-01   94.442  7.904e-03  116.857  1.576e-01  -73.276
    5   22   1.000e-01  -1.000e-01   2.200e-01  5.533e-01  5.393e-01  118.274  1.246e-02  145.847  1.230e-01  -57.453
    5   23   1.000e-01  -1.000e-01   2.300e-01  5.174e-01  5.062e-01  149.412  2.326e-02  164.123  1.047e-01  -31.448
    5   24   1.000e-01  -1.000e-01   2.400e-01  5.447e-01  5.362e-01 -170.550  1.175e-02 -171.129  9.506e-02   -7.453
    5   25   1.000e-01  -1.000e-01   2.500e-01  6.883e-01  6.841e-01 -133.300  7.045e-03  -14.354  7.583e-02   14.154
    5   26   1.000e-01  -1.000e-01   2.600e-01  5.990e-01  5.970e-01 -108.625  1.970e-02   13.395  4.542e-02   20.741
    5   27   1.000e-01  -1.000e-01   2.700e-01  5.817e-01  5.815e-01  -87.177  1.223e-02  -16.856  1.195e-02    0.069
    5   28   1.000e-01  -1.000e-01   2.800e-01  4.443e-01  4.381e-01  -59.417  1.151e-02  -45.439  7.305e-02 -100.442
    5   29   1.000e-01  -1.000e-01   2.900e-01  3.855e-01  3.572e-01   -8.647  7.236e-03  -53.992  1.447e-01 -107.409
